,제목,Aired Date,Year of release,Original Network,Aired On,Number of Episodes,Duration,Content Rating,Rating,Genre,Tags,Director,Screenwriter,Cast,Production companies,Rank,시청률,click,장르
144,보이스 2,"Aug 11, 2018 - Sep 16, 2018",2018,OCN,"Saturday, Sunday",12,60 min.,15+ - Teens 15 or older,8.4,"Thriller, Mystery, Psychological","Investigation, Strong Female Lead, Leadership, Suspense, Kidnapping, Tragic Past, Teamwork, Smart Female Lead, Emergency Communication Center, Murder",Lee Seung Young,Ma Jin Won,"Lee  Ha Na, Lee Jin Wook, Kwon Yool, Ahn Se Ha, Son Eun Seo, Kim Woo Seok",Content K,#145,,180000,Thriller
145,어느 날 우리집 현관으로 멸망이 들어왔다,"May 10, 2021 - Jun 29, 2021",2021,"tvN, ViuTV","Monday, Tuesday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.4,"Comedy, Romance, Drama, Fantasy","Terminal Illness, Illness, Brain Cancer, Hardworking Female Lead, Unlucky Female Lead, Glioblastoma, First Love, Eccentric Male Lead, Brother-Sister Relationship, Fate",Kwon Young Il,Im Me Ah Ri,"Park Bo Young, Seo In Guk, Lee Soo Hyuk, Kang Tae Oh, Shin Do Hyun, Dawon","Studio&NEW, Studio Dragon",#146,4.40%,460000,Comedy
146,듀얼,"Jun 3, 2017 - Jul 23, 2017",2017,OCN,"Saturday, Sunday",16,1 hr. 3 min.,,8.4,"Thriller, Mystery, Sci-Fi","Amnesia, Human Experimentation, Kidnapping, Tragic Past, Father-Daughter Relationship, Bromance, Investigation, Suspense, Revenge, Murder",Lee Jong Jae,Kim Yoon Joo,"Jung Jae Young, Kim Jung Eun, Yang Se Jong, Seo Eun Soo, Kim Ki Doo, Yoon Gyung Ho",Chorokbaem Media,#147,2.20%,110000,Comedy
147,검색어를 입력하세요 WWW,"Jun 5, 2019 - Jul 25, 2019",2019,tvN,"Wednesday, Thursday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,"Business, Comedy, Romance, Drama","Successful Female Lead, Smart Female Lead, Strong Female Lead, Independent Female Lead, Sismance, Social Media, Older Woman/Younger Man, Teamwork, Competition, Data Manipulation","Jung Ji Hyun, Kwon Young Il",Kwon Do Eun,"Im Soo Jung, Lee Da Hee, Jeon Hye Jin, Jang Ki Yong, Lee Jae Wook, Ji Seung Hyun",Hwa&Dam Pictures,#148,4.20%,669,Action
148,"지금부터, 쇼타임!","Apr 23, 2022 - Jun 12, 2022",2022,"MBC, ViuTV","Saturday, Sunday",16,1 hr. 13 min.,15+ - Teens 15 or older,8.4,"Mystery, Comedy, Romance, Fantasy","Supernatural, Ghost, Investigation, Magician Male Lead, Police Officer Female Lead, Ghost-seeing Male Lead, Slow Burn Romance, Special Power, Ghost Supporting Character, Love Triangle",Lee Hyung Min,Ha Yoon Ah,"Park Hae Jin, Jin Ki Joo, Jung Joon, Go Gyu Pil, Jung Suk Yong, Park Seo Yeon",Samhwa Networks,#149,4.60%,840000,Action
149,너를 기억해,"Jun 22, 2015 - Aug 11, 2015",2015,KBS2,"Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,"Thriller, Mystery, Psychological, Drama","Smart Male Lead, Investigation, Hidden Identity, Female Chases Male First, Eccentric Male Lead, Slight Romance, Bromance, Calm Male Lead, Hardworking Female Lead, Cold Man/Warm Woman","Kim Jin Won, No Sang Hoon",Kwon Ki Young,"Seo In Guk, Jang Na Ra, Park Bo Gum, Choi Won Young, Lee Chun Hee, Min Sung Wook",CJ ENM,#150,5.30%,52000,Action
150,해를 품은 달,"Jan 4, 2012 - Mar 15, 2012",2012,MBC,"Wednesday, Thursday",20,1 hr. 5 min.,15+ - Teens 15 or older,8.4,"Historical, Romance, Supernatural, Political","Lovers Separated, Amnesia, Power Struggle, Hidden Identity, Joseon Dynasty, First Love, Black Magic, Time Skip, Male Chases Female First, Brother-Sister Relationship","Lee Sung Joon, Kim Do Hoon",Jin Soo Wan,"Han Ga In, Kim Soo Hyun, Jung Il Woo, Kim Min Seo, Kim Yoo Jung, Yeo Jin Goo",Pan Entertainment,#151,42.20%,2470000,Historical
151,트레인,"Jul 11, 2020 - Aug 16, 2020",2020,OCN,"Saturday, Sunday",12,60 min.,15+ - Teens 15 or older,8.4,"Thriller, Mystery, Sci-Fi","Parallel Dimension, Suspense, Murder, Death, Tough Female Lead, Slight Romance, Strong Male Lead, Crossworlds Traveler, First Love, Orphan Female Lead",Lee Seung Hoon,Park Ga Yun,"Yoon Shi Yoon, Kyung Soo Jin, Shin So Yool, Lee Hang Na, Nam Moon Chul, Jo Wan Ki",doFRAME,#152,1.40%,1500000,Action
152,별똥별,"Apr 22, 2022 - Jun 11, 2022",2022,tvN,"Friday, Saturday",16,60 min.,15+ - Teens 15 or older,8.4,"Comedy, Romance, Drama","Entertainment Industry, Famous Male Lead, Multiple Mains, Enemies To Lovers, Love/Hate Relationship, Actor Male Lead, Multiple Couples, PR Specialist Female Lead, Actor/Actress Supporting Character, Reporter Female Lead",Lee Soo Hyun,"Choi Young Woo, Choi Yeon Seo","Lee Sung Kyung, Kim Young Dae, Yoon Jong Hoon, Kim Yoon Hye, Park So Jin, Lee Jung Shin",Mays Entertainment,#153,1.80%,180000,Thriller
153,왕이 된 남자,"Jan 7, 2019 - Mar 4, 2019",2019,tvN,"Monday, Tuesday",16,1 hr. 20 min.,15+ - Teens 15 or older,8.4,"Historical, Romance, Melodrama, Political","Double Identity, Joseon Dynasty, Noble Woman/Common Man, Identity Swap, Power Struggle, Nice Male Lead, Doppelganger, Revenge, Rebellion, Poor Male Lead",Kim Hee Won,"Shin Ha Eun, Kim Sung Deok","Yeo Jin Goo, Lee Se Young, Kim Sang Kyung, Jang Gwang, Yoon Jong Seok, Yoon Gyung Ho",GTist,#154,10.90%,630000,Thriller
154,매드독,"Oct 11, 2017 - Nov 30, 2017",2017,KBS2,"Wednesday, Thursday",16,60 min.,15+ - Teens 15 or older,8.4,"Action, Thriller, Mystery","Revenge, Tragic Past, Enemy Mine, Corruption, Insurance, Strong Female Lead, Teamwork, Fraud, Investigation, Bromance",Hwang Eui Kyung,Kim Soo Jin,"Yoo Ji Tae, Woo Do Hwan, Ryu Hwa Young, Jo Jae Yoon, Kim Hye Sung, Hong Soo Hyun","Imagine Asia, Celltrion Entertainment",#155,9.70%,140000,Military
155,산후조리원,"Nov 2, 2020 - Nov 24, 2020",2020,tvN,"Monday, Tuesday",8,1 hr. 5 min.,15+ - Teens 15 or older,8.4,"Comedy, Life, Drama, Melodrama","Motherhood, Childbirth, Strong Female Lead, Older Woman/Younger Man, Sismance, Black Comedy, Hardworking Female Lead, Independent Female Lead, Multiple Mains, Pregnancy",Park Soo Won,Kim Ji Soo,"Uhm Ji Won, Park Ha Sun, Choi Ri, Jang Hye Jin, Yoon Park, Im Hwa Young","tvN, RaemongRaein Co., Ltd.",#156,4.20%,240000,Thriller
156,나인: 아홉 번의 시간여행,"Mar 11, 2013 - May 14, 2013",2013,tvN,"Monday, Tuesday",20,52 min.,15+ - Teens 15 or older,8.4,"Mystery, Romance, Supernatural","Time Travel, 1990s, Bromance, Female Chases Male First, Announcer Male Lead, Reporter Female Lead, Magical Object, Arrogant Male Lead, Brain Tumor, Hidden Past",Kim Byung Soo,"Song Jae Jung, Kim Yoon Joo","Lee Jin Wook, Lee Seung Joon, Jo Yoon Hee, Oh Min Suk, Lee Yi Kyung, Jo Min Ah","JS Pictures, Chorokbaem Media",#157,1.70%,31000,Friendship
157,어쩌다 발견한 하루,"Oct 2, 2019 - Nov 21, 2019",2019,MBC,"Wednesday, Thursday",32,35 min.,13+ - Teens 13 or older,8.4,"Comedy, Romance, Youth, Fantasy","Sassy Female Lead, Nice Male Lead, Adapted From A Webtoon, High School, Illness, Height Difference, Love Triangle, Character Development, Strong Female Lead, Amnesia","Kim Sang Hyub, Kim Sang Woo","In Ji Hye, Song Ha Young","Kim Hye Yoon, Rowoon, Lee Jae Wook, Lee Na Eun, Kim Young Dae, Jung Gun Joo","MBC, RaemongRaein Co., Ltd.",#158,4.10%,460000,Action
158,피노키오,"Nov 12, 2014 - Jan 15, 2015",2014,SBS,"Wednesday, Thursday",20,58 min.,15+ - Teens 15 or older,8.4,"Thriller, Mystery, Comedy, Romance","Tragic Past, Hidden Identity, Double Identity, Journalism, Adopted Siblings Love, Cohabitation, Revenge, Wrongfully Accused, Bromance, News Media",Jo Soo Won,Park Hye Ryun,"Lee Jong Suk, Park Shin Hye, Kim Young Kwang, Lee Yoo Bi, Jin Kyung, Lee Pil Mo",iHQ,#159,13.30%,2270000,Life
159,닥터 프리즈너,"Mar 20, 2019 - May 15, 2019",2019,KBS2,"Wednesday, Thursday",32,35 min.,15+ - Teens 15 or older,8.4,"Thriller, Law, Crime, Medical","Revenge, Smart Male Lead, Corruption, Power Struggle, Scheme, Lying, Smart Female Lead, Strong Female Lead, Deception, Character Development","Song Min Yeop, Hwang In Hyuk",Park Kye Ok,"Namkoong Min, Kwon Na Ra, Kim Byung Chul, Choi Won Young, Lee Da In, Jin Hee Kyung",Jidam Inc.,#160,15.80%,70000,Action
160,너에게 가는 속도 493km,"Apr 20, 2022 - Jun 9, 2022",2022,KBS2,"Wednesday, Thursday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,"Romance, Drama, Sports, Melodrama","Badminton, Athlete Male Lead, Childhood Acquaintance, Teamwork, Friends To Lovers, Competition, Height Difference, Athlete Female Lead, Youth, Friendship",Jo Woong,Heo Sung Hye,"Park Ju Hyun, Chae Jong Hyeop, Park Ji Hyun, Kim Moo Joon, Seo Ji Hye, Jo Han Chul",Blitzway Studios,#161,1.90%,66000,Business
161,(아는 건 별로 없지만) 가족입니다,"Jun 1, 2020 - Jul 21, 2020",2020,tvN,"Monday, Tuesday",16,1 hr. 15 min.,15+ - Teens 15 or older,8.4,"Life, Drama","Family Crisis, Amnesia, Misunderstanding, Multiple Mains, Mother-Son Relationship, Father-Daughter Relationship, Mother-Daughter Relationship, Father-Son Relationship, Friends To Lovers, Marriage",Kwon Young Il,Kim Eun Jung,"Han Ye Ri, Kim Ji Suk, Choo Ja Hyun, Jung Jin Young, Won Mi Kyung, Shin Jae Ha",Studio Dragon,#162,5.40%,187,Action
162,그녀의 사생활,"Apr 10, 2019 - May 30, 2019",2019,tvN,"Wednesday, Thursday",16,1 hr. 15 min.,15+ - Teens 15 or older,8.4,"Business, Comedy, Romance, Drama","Boss-Employee Relationship, Independent Female Lead, Eccentric Female Lead, Orphan Male Lead, Smart Male Lead, Calm Male Lead, Sismance, Fan Culture, Steamy Kiss, Strong Female Lead",Hong Jong Chan,Kim Hye Young,"Park Min Young, Kim Jae Wook, Ahn Bo Hyun, One, Kim Bo Ra, Park Jin Joo",Bon Factory Worldwide,#163,3.10%,17000,Action
163,청춘시대 2,"Aug 25, 2017 - Oct 7, 2017",2017,jTBC,"Friday, Saturday",14,60 min.,15+ - Teens 15 or older,8.4,"Mystery, Comedy, Romance, Life","Multiple Mains, Sismance, Trauma, Multiple Couples, Friendship, Taller Woman/Shorter Man, Investigation, Strong Female Lead, Character Development, Youth","Lee Tae Gon, Kim Sang Ho",Park Yeon Sun,"Han Ye Ri, Han Seung Yeon, Park Eun Bin, Ji Woo, Choi A Ra, Kim Min Seok","Drama House, Take 2 Media Group",#164,4.10%,900000,Historical
164,비밀,"Sep 25, 2013 - Nov 14, 2013",2013,KBS2,"Wednesday, Thursday",16,1 hr. 2 min.,15+ - Teens 15 or older,8.4,"Romance, Drama, Melodrama","Revenge, Nice Female Lead, Rich Male Lead, Love Square, Naive Female Lead, Slow Burn Romance, Wrongfully Accused, Rich Man/Poor Woman, Pregnancy, Hit And Run","Baek Sang Hoon, Lee Eung Bok","Choi Ho Chul, Yoo Bo Ra","Ji Sung, Hwang Jung Eum, Bae Soo Bin, Lee Da Hee, Lee Deok Hwa, Jo Mi Ryung","Secret Love SPC, Content K",#165,2.60%,220000,Comedy
165,군검사 도베르만,"Feb 28, 2022 - Apr 26, 2022",2022,tvN,"Monday, Tuesday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.4,"Action, Military, Mystery, Law","Military Abuse, Investigation, Death Of A Mother, Prosecutor Female Lead, Prosecutor Male Lead, Death Of A Father, Money-Hungry Male Lead, Successful Male Lead, Evil Parental Figure, Money-Obsession",Jin Chang Gyu,Yoon Hyun Ho,"Ahn Bo Hyun, Jo Bo Ah, Oh Yeon Soo, Kim Young Min, Kim Woo Seok, Kang Mal Geum","Studio Dragon, Logos Film",#166,10.10%,13000,Action
166,파친코,"Mar 25, 2022 - Apr 29, 2022",2022,Apple TV+,Friday,8,54 min.,15+ - Teens 15 or older,8.4,"Historical, Romance, Drama, Melodrama","Co-produced, Discrimination, Immigrant, Adapted From A Novel, Abuse Of Power, Racism, Japanese Colonial Rule, 1980s, Forbidden Love, Miniseries","Kogonada, Justin Chon",Soo Hugh,"Kim Min Ha, Youn Yuh Jung, Jin Ha, Lee Min Ho, Jeon Yu Na, Park So Hee","Blue Marble Pictures, A Han.Bok Dream Production, Media Res",#167,,1680000,Romance
167,간 떨어지는 동거,"May 26, 2021 - Jul 15, 2021",2021,"iQiyi, tvN","Wednesday, Thursday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,"Comedy, Romance, Fantasy","Nine-tailed Fox, Cohabitation, Smart Male Lead, Nice Male Lead, Supernatural, Independent Female Lead, Interspecies Romance, Adapted From A Webtoon, Friendship, Multiple Mains",Nam Sung Woo,"Baek Sun Woo, Choi Bo Rim","Jang Ki Yong, Lee Hye Ri, Kang Han Na, Kim Do Wan, Bae In Hyuk, Park Kyung Hye","Drama House, Contents Zium, JTBC Studios",#168,5.30%,418,Action
168,유미의 세포들2,"Jun 10, 2022 - Jul 22, 2022",2022,tvN,Friday,14,1 hr. 5 min.,15+ - Teens 15 or older,8.4,"Comedy, Romance, Life","Workplace Setting, Office Worker Female Lead, Office Worker Male Lead, Illustrator Supporting Character, Workplace Romance, Sweet Male Lead, Mixed Live Action-Animation, Adapted From A Webtoon",Lee Sang Yeob,"Song Jae Jung, Kim Yoon Joo, Kim Kyung Ran","Kim Go Eun, Park Jin Young, Ahn Bo Hyun, Lee Yoo Bi, Mi Ram, Kwon Seung Woo","Studio Dragon, Merrycow Creative, Studio N, Locus Corporation",#169,1.20%,660000,Thriller
169,나의 나라,"Oct 4, 2019 - Nov 23, 2019",2019,"jTBC, Netflix","Friday, Saturday",16,1 hr. 20 min.,15+ - Teens 15 or older,8.4,"Action, Historical, Romance, Drama","Friendship, Multiple Mains, Bromance, Joseon Dynasty, Strong Male Lead, Power Struggle, War, Smart Female Lead, First Love, Evil Parental Figure",Kim Jin Won,Chae Seung Dae,"Yang Se Jong, Woo Do Hwan, Kim Seol Hyun, Jang Hyuk, Kim Yeong Cheol, Ahn Nae Sang","Celltrion Entertainment, My Country SPC",#170,5.00%,25000,Action
170,대박부동산,"Apr 14, 2021 - Jun 9, 2021",2021,KBS2,"Wednesday, Thursday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,"Thriller, Mystery, Comedy, Fantasy","Ghost, Supernatural, Exorcism, Strong Female Lead, Smart Female Lead, Cold Female Lead, Suspense, Crime, Secret, Death",Park Jin Suk,"Ha Soo Jin, Jung Yeon Seo, Lee Young Hwa","Jang Na Ra, Jung Yong Hwa, Kang Hong Suk, Kang Mal Geum, Baek Eun Hye, Ahn Kil Kang","Monster Union, May Queen Pictures",#171,6.90%,100000,Comedy
171,플레이어,"Sep 29, 2018 - Nov 11, 2018",2018,OCN,"Saturday, Sunday",14,1 hr. 5 min.,,8.4,"Action, Thriller, Mystery, Comedy","Strong Female Lead, Corruption, Hidden Identity, Conspiracy, Double Identity, Fight, Gang, Unusual Friendship, Badass Male Lead, Hardworking Male Lead",Go Jae Hyun,Shin Jae Hyung,"Song Seung Heon, Krystal Jung, Lee Si Eon, Tae Won Seok, Kim Won Hae, Ahn Se Ho",iWill Media,#172,5.80%,2120000,Thriller
172,푸른 바다의 전설,"Nov 16, 2016 - Jan 25, 2017",2016,SBS,"Wednesday, Thursday",20,60 min.,15+ - Teens 15 or older,8.4,"Comedy, Romance, Drama, Fantasy","Naive Female Lead, Interspecies Romance, Eccentric Female Lead, Cohabitation, Evil Stepmother, First Love, Sassy Female Lead, Hidden Identity, Nice Male Lead, Bromance",Jin Hyeok,Park Ji Eun,"Lee Min Ho, Jun Ji Hyun, Lee Hee Joon, Shin  Won Ho, Shin Hye Sun, Moon So Ri","Culture Depot, Studio Dragon",#173,21.00%,2030000,Thriller
173,이리와 안아줘,"May 16, 2018 - Jul 19, 2018",2018,MBC,"Wednesday, Thursday",32,35 min.,15+ - Teens 15 or older,8.4,"Thriller, Mystery, Romance, Melodrama","Evil Parental Figure, Trauma, Nice Male Lead, Healing, First Love, Violence, Strong Female Lead, Successful Female Lead, Calm Male Lead, Murder",Choi Joon Bae,Lee Ah Ram,"Jang Ki Yong, Jin Ki Joo, Heo Joon Ho, Yoon Jong Hoon, Kim Kyung Nam, Seo Jung Yeon","Company Ching, Imagine Asia",#174,5.90%,730000,Mystery
174,검법남녀,"May 14, 2018 - Jul 17, 2018",2018,MBC,"Monday, Tuesday",32,35 min.,15+ - Teens 15 or older,8.4,"Thriller, Mystery, Law, Medical","Forensic Medical Examiner Male Lead, Prosecutor Female Lead, Forensic Science, Lieutenant Supporting Character, Serial Killer Supporting Character, Criminal Supporting Character, Age Gap [Drama Life], Age Gap [Real Life], Warm Female Lead, Smart Female Lead",Noh Do Cheol,"Min Ji Eun, Won Young Shil","Jung Jae Young, Jung Yoo Mi, Lee Yi Kyung, Park Eun Seok, Stephanie Lee, Joo Jin Mo",HB Entertainment,#175,9.90%,499,Comedy
175,청춘블라썸,"Sep 21, 2022 - Nov 2, 2022",2022,Wavve,Wednesday,16,25 min.,13+ - Teens 13 or older,8.4,"Comedy, Romance, Youth, Drama","Student, Suicide, Flashback To Past, Death, School, Friendship, Childhood Friends' Relationship, Teenager Female Lead, Teenager Male Lead, Teacher Female Lead",Wang Hye Ryung,"Kim Na Neui, Park Yoon Sung","Seo Ji Hoon, So Ju Yeon, Kim Min Kyu, Kang Hye Won, Yoon Hyun Soo, Oh Yu Jin",Copus Korea,#176,,870000,Action
176,조선로코-녹두전,"Sep 30, 2019 - Nov 25, 2019",2019,KBS2,"Monday, Tuesday",32,33 min.,15+ - Teens 15 or older,8.4,"Action, Historical, Comedy, Romance","Cross-Dressing, Joseon Dynasty, Hidden Identity, Strong Male Lead, Birth Secret, Strong Female Lead, Gender Bender, First Love, Martial Arts Master, Smart Male Lead","Kim Dong Hwi, Lee Hyun Jin, Kang Soo Yeon","Baek So Yeon, Im Ye Jin","Jang Dong Yoon, Kim So Hyun, Kang Tae Oh, Jung Joon Ho, Kim Tae Woo, Yoon Yoo Sun","The Tale of Nokdu Production Partners, Production H, Monster Union",#177,8.30%,790000,Romance
177,싸이코패스 다이어리,"Nov 20, 2019 - Jan 9, 2020",2019,tvN,"Wednesday, Thursday",16,1 hr. 20 min.,15+ - Teens 15 or older,8.4,"Thriller, Mystery, Comedy, Crime","Black Comedy, Amnesia, Personality Change, Nice Male Lead, Misunderstanding, Wrongfully Accused, Investigation, Murder, Smart Female Lead, Workplace Abuse",Lee Jong Jae,"Ryu Yong Jae, Kim Hwan Chae, Choi Sung Joon","Yoon Shi Yoon, Jung In Sun, Park Sung Hoon, Lee  Han Wi, Hwang Geum Byul, Kim Kyul",KeyEast,#178,3.00%,330000,Friendship
178,뷰티 인사이드,"Oct 1, 2018 - Nov 20, 2018",2018,jTBC,"Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,"Comedy, Romance, Melodrama, Supernatural","Prosopagnosia, Successful Male Lead, Strong Female Lead, Calm Male Lead, Secondary Couple, Contract Relationship, Famous Female Lead, Rich Female Lead, Rich Male Lead, Sismance",Song Hyun Wook,Im Me Ah Ri,"Seo Hyun Jin, Lee Min Ki, Lee Da Hee, Ahn Jae Hyun, Lee Tae Ri, Moon Ji In","Studio&NEW, Yong Film",#179,5.30%,210000,Action
179,구미호뎐,"Oct 7, 2020 - Dec 3, 2020",2020,tvN,"Wednesday, Thursday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,"Thriller, Horror, Romance, Fantasy","Nine-tailed Fox, Reincarnation, Supernatural, Sibling Rivalry, Fated Love, Interspecies Romance, Mythical Being, Hardworking Female Lead, Smart Female Lead, Strong Female Lead","Kang Shin Hyo, Jo Nam Hyung",Han Woo Ri,"Lee Dong Wook, Jo Bo Ah, Kim Bum, Kim Yong Ji, Hwang Hee, Kim Jung Nan","Studio Dragon, HOW Pictures",#180,8.00%,10000,Thriller
180,모범형사,"Jul 6, 2020 - Aug 25, 2020",2020,jTBC,"Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,"Action, Thriller, Mystery, Drama","Wrongfully Accused, Corruption, Investigation, Smart Male Lead, Bromance, Corrupt Legal System, Murder, Crime, Detective Male Lead, Suspense",Jo Nam Gook,Choi Jin Won,"Son Hyun Joo, Jang Seung Jo, Lee Elijah, Oh Jung Se, Ji Seung Hyun, Son Jong Hak","Blossom Story, JTBC Studios",#181,8.10%,148050,Friendship
181,사이코메트리 그녀석,"Mar 11, 2019 - Apr 30, 2019",2019,tvN,"Monday, Tuesday",16,1 hr. 4 min.,15+ - Teens 15 or older,8.4,"Thriller, Mystery, Romance, Supernatural","Psychometry, Special Power, Tragic Past, Nice Male Lead, Smart Female Lead, Bromance, Strong Female Lead, Slow Romance, Sassy Female Lead, Death",Kim Byung Soo,Yang Jin Ah,"Park Jin Young, Shin Ye Eun, Kim Kwon, Kim Da Som, Noh Jong Hyun, Go Yoon Jung",JS Pictures,#182,2.80%,240000,Life
182,봄밤,"May 22, 2019 - Jul 11, 2019",2019,"MBC, Netflix","Wednesday, Thursday",32,35 min.,15+ - Teens 15 or older,8.4,"Romance, Life, Drama, Melodrama","Nice Male Lead, Family Pressure, Strong Female Lead, Adult Romance, Father-Son Relationship, Strict Father, Sismance, Male Chases Female First, Mother-Son Relationship, Mother-Daughter Relationship",Ahn Pan Seok,Kim Eun,"Jung Hae In, Han Ji Min, Kim Joon Han, Im Sung Eon, Joo Min Kyung, Song Seung Hwan",JS Pictures,#183,9.50%,190000,Romance
183,사운드트랙 1,"Mar 23, 2022 - Apr 13, 2022",2022,Disney+,Wednesday,4,44 min.,13+ - Teens 13 or older,8.4,"Music, Romance","Miniseries, Friends To Lovers, Unrequited Love, Long Time Friends, Friendship, Flashback To Past, Cohabitation, Best Friends' Relationship, Songwriter Female Lead, Photographer Male Lead",Kim Hee Won,Ahn Sae Bom,"Park Hyung Sik, Han So Hee, Kim Joo Heon, Yoon Byung Hee, Park Min Jung, Park Hoon","Red Nine Pictures, Xanadu Entertainment",#184,,51106,Thriller
184,시티헌터,"May 25, 2011 - Jul 28, 2011",2011,SBS,"Wednesday, Thursday",20,1 hr. 10 min.,15+ - Teens 15 or older,8.4,"Action, Thriller, Crime","Strong Male Lead, Hidden Identity, Revenge, Corruption, Adapted From A Manga, Strong Female Lead, Smart Male Lead, Romance, Death, Tragic Past",Jin Hyeok,"Choi Soo Jin, Hwang Eun Kyung","Lee Min Ho, Park Min Young, Lee Joon Hyuk, Kim Sang Joong, Hwang Sun Hee, Kim Mi Sook",SSD,#185,19.90%,310000,Thriller
185,미스터 기간제,"Jul 17, 2019 - Sep 5, 2019",2019,OCN,"Wednesday, Thursday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,"Thriller, Mystery, Law, Youth","Murder, Investigation, Death, High School, Jealousy, Multiple Mains, Rich Male Lead, Suspense, Attempted Murder, Attempted Suicide","Sung Yong Il, Park Ji Hyun",Jang Hong Chul,"Yoon Kyun Sang, Geum Sae Rok, Lee Jun Young, Choi Yoo Hwa, Choi Kyu Jin, Han So Eun",JS Pictures,#186,4.80%,150000,Adventure
186,백일의 낭군님,"Sep 10, 2018 - Oct 30, 2018",2018,tvN,"Monday, Tuesday",16,1 hr. 15 min.,15+ - Teens 15 or older,8.3,"Historical, Comedy, Romance, Drama","Amnesia, Hidden Identity, Marriage Of Convenience, Joseon Dynasty, Fake Marriage, Eccentric Male Lead, Hardworking Female Lead, Double Identity, Strong Female Lead, Riches To Rags","Lee Jong Jae, Nam Sung Woo",Noh Ji Sul,"Doh Kyung Soo, Nam Ji Hyun, Kim Seon Ho, Han So Hee, Jo Sung Ha, Kim Jae Young",AStory,#187,14.40%,180000,Thriller
187,멀리서 보면 푸른 봄,"Jun 14, 2021 - Jul 20, 2021",2021,"iQiyi, KBS2, Viki","Monday, Tuesday",12,1 hr. 3 min.,15+ - Teens 15 or older,8.3,"Romance, Life, Youth","Coming Of Age, Bromance, Adapted From A Webtoon, Child Abuse, Student, Depression, Abusive Parents, Anxiety, Childhood Trauma, Hardworking Male Lead",Kim Jung Hyun,"Ji Nyoong, Jung Won-Jung","Park Ji Hoon, Kang  Min Ah, Bae In Hyuk, Kwon Eun Bin, Choi Jung Woo, Woo Da Vi",Victory Contents,#188,2.60%,140000,Comedy
188,거짓말의 거짓말,"Sep 4, 2020 - Oct 24, 2020",2020,Channel A,"Friday, Saturday",16,1 hr. 9 min.,15+ - Teens 15 or older,8.3,"Thriller, Romance, Melodrama","Nice Male Lead, Father-Daughter Relationship, Wrongfully Accused, Revenge, Domestic Abuse, Hidden Identity, Domestic Violence, Evil Mother-in-Law, Hateful Mother-in-Law, Mother-Daughter Relationship",Kim Jung Kwon,Kim Ji Eun,"Lee Yoo Ri, Yeon Jung Hoon, Lee Il Hwa, Im Ju Eun, Go Na Hee, Kwon Hwa Woon",Raemongraein,#189,8.20%,486,Thriller
189,안나라수마나라,06-May-22,2022,Netflix,Friday,6,1 hr. 10 min.,15+ - Teens 15 or older,8.3,"Music, Psychological, Drama, Fantasy","Poor Female Lead, Magician Male Lead, Student, High School, Adapted From A Webtoon, Melodrama, School Bullying, Musical, Debt, Magical Power",Kim Seong Yoon,Kim Min Jung,"Ji Chang Wook, Choi Sung Eun, Hwang In Youp, Oh So Hyun, Ji Hye Won, Hong Jung Min","SLL, Zium Content",#190,,440000,Food
190,남고괴담,"Nov 12, 2021 - Dec 31, 2021",2021,YouTube,Friday,8,20 min.,,8.3,"Mystery, Horror, Youth, Supernatural","Student, Ghost, Investigation, High School, School, Suspense, Miniseries, Web Series, Friendship",Ha Han Me,Han Song-yi,"Choi Hyun Suk, Park Ji Hoon, Yoshi, Kim Jun Kyu, Mashiho, Yoon Jae Hyuk",YG Entertainment,#191,,37000,Thriller
191,굿 닥터,"Aug 5, 2013 - Oct 8, 2013",2013,KBS2,"Monday, Tuesday",20,1 hr. 5 min.,15+ - Teens 15 or older,8.3,"Romance, Life, Drama, Medical","Autism, Eccentric Male Lead, Ableism, Child Abuse, Slow Burn Romance, Doctor Female Lead, Doctor Male Lead, Autistic Male Lead, Savant Syndrome, Mental Illness","Kim Jin Woo, Ki Min Soo",Park Jae Bum,"Joo Won, Moon Chae Won, Joo Sang Wook, Kim Min Seo, Ha Kyu Won, Kim Hyun Soo",Logos Film,#192,21.50%,13000,Mystery
192,"괜찮아, 우정이야",05-Mar-21,2021,YouTube,Friday,1,20 min.,G - All Ages,8.3,"Comedy, Life","Idol Male Lead, Multiple Mains, Transfer Student, Web Series, Student, Bromance, School, Friendship",,,"Choi Hyun Suk, Park Ji Hoon, Kim Jun Kyu, Yoshi, Mashiho, Yoon Jae Hyuk",YG Entertainment,#193,,5000,Romance
